layer,cache,component,shape,numel,mean,std,min,max,abs_mean,rms,p01,p50,p99,zero_fraction,residual_to_receiver_rms
6,receiver,K,1x8x50x128,51200,-0.07690722495317459,5.362431049346924,-82.0,93.5,2.0847506523132324,5.362983226776123,-13.1875,0.005706787109375,10.313232421875,0.00015624999650754035,
6,fused,K,1x8x50x128,51200,-0.07690722495317459,5.362431049346924,-82.0,93.5,2.0847506523132324,5.362983226776123,-13.1875,0.005706787109375,10.313232421875,0.00015624999650754035,
6,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,receiver,V,1x8x50x128,51200,0.0028973757289350033,0.39205875992774963,-2.875,2.828125,0.2956712543964386,0.3920694589614868,-1.0,0.001529693603515625,1.0078125,0.0,
6,fused,V,1x8x50x128,51200,0.0028973757289350033,0.39205875992774963,-2.875,2.828125,0.2956712543964386,0.3920694589614868,-1.0,0.001529693603515625,1.0078125,0.0,
6,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,receiver,K,1x8x50x128,51200,-0.028808338567614555,4.914908409118652,-73.0,74.5,1.7801090478897095,4.914992332458496,-13.063125610351562,0.0087890625,14.75,0.0002734375011641532,
7,fused,K,1x8x50x128,51200,-0.028808338567614555,4.914908409118652,-73.0,74.5,1.7801090478897095,4.914992332458496,-13.063125610351562,0.0087890625,14.75,0.0002734375011641532,
7,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,receiver,V,1x8x50x128,51200,-0.004225613549351692,0.5266007781028748,-3.34375,3.578125,0.40204742550849915,0.526617705821991,-1.359375,-0.001384735107421875,1.2890625,0.0,
7,fused,V,1x8x50x128,51200,-0.0025958253536373377,0.5791975855827332,-4.0,4.8125,0.438656747341156,0.5792034268379211,-1.5,-0.000232696533203125,1.437591552734375,0.0,
7,fused_minus_receiver,V,1x8x50x128,51200,0.001630833139643073,0.24149592220783234,-3.4375,5.15625,0.1276981681585312,0.24150140583515167,-0.7617578506469727,0.00146484375,0.75390625,0.013007812201976776,0.458589605258705
8,receiver,K,1x8x50x128,51200,-0.038536157459020615,2.2797441482543945,-30.875,29.0,1.228277564048767,2.2800698280334473,-6.625,0.00039768218994140625,5.5625,3.9062499126885086e-05,
8,fused,K,1x8x50x128,51200,-0.038536157459020615,2.2797441482543945,-30.875,29.0,1.228277564048767,2.2800698280334473,-6.625,0.00039768218994140625,5.5625,3.9062499126885086e-05,
8,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,receiver,V,1x8x50x128,51200,0.004684810061007738,0.8338647484779358,-18.25,24.875,0.46904340386390686,0.8338779211044312,-1.7265625,0.00048065185546875,1.7109375,0.0,
8,fused,V,1x8x50x128,51200,0.02813982218503952,0.9990745782852173,-18.25,25.0,0.629206120967865,0.9994707703590393,-2.25,0.0167236328125,2.4375,0.0,
8,fused_minus_receiver,V,1x8x50x128,51200,0.02345290221273899,0.5584222674369812,-4.25,4.75,0.32923683524131775,0.5589144825935364,-1.5625,0.0,1.71875,0.04996093735098839,0.6702593610504534
